author_id,first_year,membership,degree_overall,degree_active,degree_backbone
author_30578,2010,Backbone,28,17,3
author_53288,2013,Backbone,27,17,3
author_25884,2010,Backbone,24,17,3
author_4191,2006,Backbone,22,17,3
author_98977,2017,Backbone,45,16,3
author_95841,2017,Backbone,39,16,3
author_112368,2018,Backbone,37,16,3
author_54399,2013,Backbone,31,16,3
author_147381,2021,Backbone,28,16,3
author_99642,2017,Backbone,25,16,3
author_57603,2013,Backbone,23,16,3
author_95544,2017,Backbone,23,16,3
author_67611,2014,Backbone,23,16,3
author_10354,2007,Backbone,21,16,3
author_12063,2008,Backbone,20,16,3
author_140629,2020,Backbone,18,16,3
author_64001,2014,Backbone,35,15,3
author_87112,2016,Backbone,31,15,3
author_101760,2017,Backbone,29,15,3
author_41724,2012,Backbone,24,15,3
author_136015,2020,Backbone,15,15,3
author_121900,2019,Backbone,30,14,3
author_29291,2010,Backbone,30,14,3
author_32114,2010,Backbone,25,14,3
author_92380,2017,Backbone,23,14,3
author_21622,2009,Backbone,23,14,3
author_9039,2007,Backbone,21,14,3
author_108783,2018,Backbone,21,14,3
author_135830,2020,Backbone,16,14,3
author_70299,2015,Backbone,25,13,3
author_70295,2015,Backbone,25,13,3
author_24130,2009,Backbone,24,13,3
author_46290,2012,Backbone,24,13,3
author_166884,2022,Backbone,22,13,3
author_42247,2012,Backbone,21,12,3
author_124519,2019,Backbone,21,12,3
author_32321,2010,Backbone,19,12,3
author_71098,2015,Backbone,19,12,3
author_6692,2007,Backbone,17,12,3
author_3748,2006,Backbone,14,12,3
author_16396,2008,Backbone,25,11,3
author_102080,2017,Backbone,24,11,3
author_33306,2011,Backbone,21,11,3
author_139303,2020,Backbone,19,11,3
author_4858,2006,Backbone,18,11,3
author_16881,2008,Backbone,16,11,3
author_26512,2010,Backbone,12,11,3
author_14778,2008,Backbone,45,10,3
author_82497,2016,Backbone,16,10,3
author_79672,2015,Backbone,16,10,3
author_38887,2011,Backbone,15,10,3
author_15845,2008,Backbone,12,10,3
author_3592,2006,Backbone,12,10,3
author_67802,2014,Backbone,10,10,3
author_102025,2017,Backbone,24,9,3
author_20561,2009,Backbone,24,9,3
author_45407,2012,Backbone,17,9,3
author_104651,2018,Backbone,11,9,3
author_126679,2019,Backbone,10,9,3
author_17220,2008,Backbone,20,8,3
author_142660,2021,Backbone,13,8,3
author_14763,2008,Backbone,10,8,3
author_86219,2016,Backbone,15,7,3
author_35453,2011,Backbone,14,7,3
author_19367,2009,Backbone,7,7,3
