k,k_over_n,alpha_weighted,alpha_unweighted
8927,0.5214673754308079,0.10178341201588526,0.16573041405200997
8928,0.5215257900578305,0.10183199830144295,0.16577613371694752
8929,0.5215842046848531,0.10188057933103122,0.165821848371099
8930,0.5216426193118757,0.10192915510550288,0.1658675580152881
8931,0.5217010339388983,0.1019777256257106,0.16591326265033834
8932,0.5217594485659209,0.10202629089250681,0.16595896227707313
8933,0.5218178631929435,0.10207485090674379,0.16600465689631558
8934,0.5218762778199662,0.10212340566927364,0.1660503465088887
8935,0.5219346924469888,0.10217195518094824,0.16609603111561533
8936,0.5219931070740114,0.10222049944261931,0.16614171071731806
8937,0.522051521701034,0.1022690384551384,0.16618738531481939
8938,0.5221099363280566,0.10231757221935685,0.16623305490894152
8939,0.5221683509550792,0.10236610073612583,0.1662787195005066
8940,0.5222267655821018,0.10241462400629632,0.16632437909033654
8941,0.5222851802091244,0.10246314203071911,0.16637003367925304
8942,0.522343594836147,0.10251165481024484,0.16641568326807765
8943,0.5224020094631696,0.10256016234572392,0.16646132785763176
8944,0.5224604240901922,0.10260866463800658,0.16650696744873655
8945,0.5225188387172148,0.10265716168794292,0.16655260204221303
8946,0.5225772533442374,0.10270565349638279,0.16659823163888204
8947,0.52263566797126,0.1027541400641759,0.16664385623956424
8948,0.5226940825982826,0.10280262139217175,0.16668945339203195
8949,0.5227524972253053,0.10285109748121968,0.16673500068334016
8950,0.5228109118523279,0.10289956833216882,0.166780513128774
8951,0.5228693264793505,0.10294803394586814,0.16682599076830634
8952,0.5229277411063731,0.10299649432316642,0.1668715007510583
8953,0.5229861557333957,0.10304494946491224,0.16691700576235083
8954,0.5230445703604183,0.10309339937195403,0.16696250580299846
8955,0.5231029849874409,0.10314184404514001,0.16700800087381557
8956,0.5231613996144635,0.10319028348531821,0.16705349097561642
8957,0.5232198142414861,0.10323871769333651,0.167098976109215
8958,0.5232782288685087,0.10328714667004259,0.16714445627542523
8959,0.5233366434955313,0.10333557041628391,0.16718993147506075
8960,0.5233950581225539,0.10338398893290782,0.16723540170893506
8961,0.5234534727495765,0.10343240222076143,0.1672808669778615
8962,0.5235118873765991,0.1034808102806917,0.1673263272826532
8963,0.5235703020036218,0.10352921311354538,0.16737178262412317
8964,0.5236287166306444,0.10357761072016904,0.16741723300308414
8965,0.523687131257667,0.10362600310140908,0.1674626784203488
8966,0.5237455458846896,0.10367439025811175,0.16750811887672953
8967,0.5238039605117122,0.10372277219112304,0.16755355437303862
8968,0.5238623751387348,0.10377114890128881,0.16759898491008815
8969,0.5239207897657574,0.10381952038945474,0.16764441048869
8970,0.52397920439278,0.10386788665646629,0.16768983110965593
8971,0.5240376190198026,0.10391624770316879,0.1677352467737975
8972,0.5240960336468251,0.10396460353040733,0.16778065748192605
8973,0.5241544482738477,0.10401295413902686,0.16782606323485283
8974,0.5242128629008703,0.10406129952987214,0.1678714640333888
8975,0.5242712775278929,0.10410963970378773,0.16791685987834484
8976,0.5243296921549155,0.10415797466161802,0.1679622507705316
8977,0.5243881067819381,0.10420630440420724,0.16800763671075958
8978,0.5244465214089608,0.10425462893239937,0.1680530176998391
8979,0.5245049360359834,0.10430294824703829,0.16809839373858027
8980,0.524563350663006,0.10435126234896765,0.16814376482779309
8981,0.5246217652900286,0.10439957123903093,0.1681891309682873
8982,0.5246801799170512,0.10444787491807142,0.16823449216087252
8983,0.5247385945440738,0.10449617338693223,0.1682798484063582
8984,0.5247970091710964,0.10454446664645632,0.1683251997055536
8985,0.524855423798119,0.10459275469748641,0.16837054605926774
8986,0.5249138384251416,0.1046410375408651,0.16841588746830957
8987,0.5249722530521642,0.10468931517743475,0.1684612239334878
8988,0.5250306676791868,0.10473758760803757,0.16850655545561097
8989,0.5250890823062094,0.1047858548335156,0.1685518820354875
8990,0.525147496933232,0.10483411685471067,0.16859720367392547
8991,0.5252059115602546,0.10488237367246445,0.16864252037173302
8992,0.5252643261872773,0.1049306252876184,0.16868783212971794
8993,0.5253227408142999,0.10497887170101385,0.1687331389486879
8994,0.5253811554413225,0.10502711291349189,0.1687784408294504
8995,0.5254395700683451,0.10507534892589347,0.16882373777281273
8996,0.5254979846953677,0.10512357973905934,0.16886902977958204
8997,0.5255563993223903,0.10517180535383007,0.16891431685056532
8998,0.5256148139494129,0.10522002577104604,0.16895959898656931
8999,0.5256732285764355,0.10526824055790526,0.16900487618840065
9000,0.5257316432034581,0.10531644465167606,0.16905014845686578
9001,0.5257900578304807,0.10536464026257003,0.16909541579277096
9002,0.5258484724575033,0.10541283249901269,0.16914067819692225
9003,0.5259068870845259,0.10546101954369419,0.16918593567012555
9004,0.5259653017115485,0.10550920139745346,0.16923118821318664
9005,0.5260237163385711,0.10555737806112923,0.16927643582691104
9006,0.5260821309655938,0.10560554953556008,0.16932167851210414
9007,0.5261405455926164,0.10565371582158437,0.16936691626957115
9008,0.526198960219639,0.1057018769200403,0.1694121491001171
9009,0.5262573748466616,0.10575003283176587,0.16945737700454683
9010,0.5263157894736842,0.10579818355759894,0.16950259998366501
9011,0.5263742041007068,0.10584632909837717,0.1695478180382762
9012,0.5264326187277294,0.10589446945493801,0.1695930311691847
9013,0.526491033354752,0.10594260462811876,0.16963823937719466
9014,0.5265494479817746,0.10599073461875655,0.16968344266311006
9015,0.5266078626087972,0.1060388594276883,0.1697286410277347
9016,0.5266662772358198,0.10608697905575078,0.1697738344718722
9017,0.5267246918628424,0.10613509350378053,0.16981902299632604
9018,0.526783106489865,0.10618320277261398,0.16986420660189946
9019,0.5268415211168876,0.10623130686308732,0.16990938528939564
9020,0.5268999357439103,0.1062794057760366,0.16995455905961743
9021,0.5269583503709329,0.10632749951229765,0.16999972791336762
9022,0.5270167649979555,0.10637558807270618,0.17004489185144878
