u,v,weight
author_216,author_21531,1.0
author_216,author_21533,0.8333333333333333
author_216,author_22924,0.5
author_216,author_23981,0.3333333333333333
author_216,author_24458,0.8333333333333333
author_216,author_25155,1.0
author_216,author_27640,0.3333333333333333
author_216,author_36862,0.6666666666666666
author_216,author_40567,0.3333333333333333
author_216,author_49637,0.5
author_216,author_61953,0.5
author_216,author_79250,0.8333333333333333
author_216,author_180444,0.3333333333333333
author_230,author_231,0.5
author_230,author_4982,1.0
author_231,author_18301,1.0
author_364,author_365,2.75
author_364,author_384,1.3333333333333333
author_364,author_385,1.3333333333333333
author_364,author_386,1.0833333333333333
author_364,author_642,2.387858383446619
author_364,author_3068,0.7703619909502264
author_364,author_4893,0.16666666666666666
author_364,author_11642,2.2767472723355078
author_364,author_11860,0.9267149517149518
author_364,author_15462,2.6973821929704282
author_364,author_20628,0.7115384615384617
author_364,author_22800,0.25396825396825395
author_364,author_25026,2.6973821929704282
author_364,author_33231,2.5307155263037617
author_364,author_53043,2.5307155263037617
author_364,author_129236,0.4444444444444444
author_364,author_147448,0.8024475524475525
author_364,author_147453,0.7191142191142192
author_364,author_179527,0.1
author_365,author_384,0.75
author_365,author_385,0.75
author_365,author_386,2.533333333333333
author_365,author_9825,0.25
author_365,author_49205,0.2
author_365,author_59091,1.6666666666666665
author_365,author_80205,0.6666666666666666
author_365,author_80206,0.6666666666666666
author_365,author_80207,0.6666666666666666
author_365,author_109410,0.5
author_365,author_109411,0.5
author_365,author_114365,0.5833333333333333
author_365,author_114367,0.5833333333333333
author_365,author_180185,0.6666666666666666
author_365,author_180186,0.6666666666666666
author_368,author_7587,0.14285714285714285
author_368,author_72802,0.14285714285714285
author_368,author_111286,0.14285714285714285
author_384,author_385,3.333333333333333
author_384,author_386,1.0833333333333333
author_385,author_386,1.0833333333333333
author_385,author_12657,4.0
author_385,author_82481,0.5
author_386,author_9825,0.25
author_386,author_49205,0.2
author_386,author_114365,0.5833333333333333
author_386,author_114367,0.5833333333333333
author_468,author_469,0.6666666666666666
author_468,author_471,0.6666666666666666
author_469,author_471,0.6666666666666666
author_469,author_493,0.3333333333333333
author_469,author_1436,0.25
author_469,author_4678,4.833333333333333
author_469,author_9348,0.5
author_469,author_9349,0.5
author_469,author_10262,1.0
author_469,author_11601,0.3333333333333333
author_469,author_13451,1.0
author_469,author_13457,1.25
author_469,author_16270,0.25
author_469,author_16272,0.6666666666666666
author_469,author_16471,2.0
author_469,author_17470,0.3333333333333333
author_469,author_19115,1.0
author_469,author_57879,0.25
author_469,author_58275,3.3333333333333335
author_479,author_480,5.833333333333333
author_479,author_482,0.8333333333333333
author_479,author_483,0.8333333333333333
author_479,author_851,0.5
author_479,author_10688,0.3333333333333333
author_479,author_12918,0.3333333333333333
author_479,author_18781,1.2
author_479,author_18783,0.7
author_479,author_23747,0.5
author_479,author_25057,2.8333333333333335
author_479,author_54000,0.2
author_479,author_69470,0.16666666666666666
author_479,author_71540,0.2
author_480,author_482,0.3333333333333333
author_480,author_483,0.3333333333333333
author_480,author_851,0.5
author_480,author_25057,0.8333333333333333
author_480,author_69470,0.16666666666666666
author_482,author_483,0.8333333333333333
author_487,author_8428,1.5
author_487,author_8444,4.0
author_487,author_13558,0.6666666666666666
author_487,author_14018,0.6666666666666666
author_487,author_30294,0.3333333333333333
author_487,author_33691,0.25
author_487,author_45512,2.0
author_487,author_56019,1.0
author_487,author_86368,2.0
author_487,author_86372,10.25
author_487,author_167628,0.25
author_488,author_489,3.333333333333333
author_488,author_4681,0.8333333333333333
author_488,author_4682,1.9166666666666665
author_488,author_4684,0.5
author_488,author_4685,1.6666666666666665
author_488,author_6414,0.6666666666666666
author_488,author_7224,0.5
author_488,author_13971,0.5
author_488,author_18749,0.75
author_488,author_18752,0.75
author_488,author_40740,0.5833333333333333
author_488,author_43969,0.25
author_488,author_59303,0.25
author_488,author_59304,0.25
author_488,author_72331,0.5
author_488,author_72533,0.5
author_488,author_90482,0.5
author_488,author_152626,0.5
author_489,author_501,1.0
author_489,author_4685,0.3333333333333333
author_489,author_6414,0.3333333333333333
author_489,author_13133,0.5
author_492,author_858,1.2
author_492,author_5691,1.1666666666666665
author_492,author_5693,0.3333333333333333
author_492,author_6882,1.0
author_492,author_16132,0.3333333333333333
author_492,author_41266,1.0
author_492,author_72141,1.1666666666666665
author_493,author_494,1.0
author_493,author_4678,1.3333333333333333
author_493,author_10630,1.5
author_493,author_11601,0.3333333333333333
author_493,author_15116,0.3333333333333333
author_493,author_17470,0.6666666666666666
author_493,author_25881,1.0
author_493,author_38114,0.3333333333333333
author_493,author_39476,1.0
author_493,author_81537,1.3333333333333333
author_493,author_130864,0.5
author_501,author_502,0.8333333333333333
author_501,author_503,0.8333333333333333
author_501,author_58794,0.5
author_502,author_503,0.8333333333333333
author_531,author_12609,0.1
author_531,author_14405,0.1
author_531,author_83496,0.1
author_531,author_98725,0.125
author_531,author_102891,0.125
author_531,author_102894,0.225
author_544,author_18840,0.16666666666666666
author_544,author_18841,0.16666666666666666
author_544,author_18844,0.2
author_544,author_18895,0.3666666666666667
author_582,author_584,0.7714285714285715
author_582,author_13792,0.07142857142857142
author_582,author_26258,0.27142857142857146
author_582,author_26259,0.07142857142857142
author_582,author_26261,0.07142857142857142
author_582,author_26265,0.07142857142857142
author_582,author_26267,0.07142857142857142
author_582,author_26269,0.07142857142857142
author_582,author_53834,0.2
author_584,author_13792,0.07142857142857142
author_584,author_26258,0.27142857142857146
author_584,author_26259,0.07142857142857142
author_584,author_26261,0.07142857142857142
author_584,author_26265,0.07142857142857142
author_584,author_26267,0.07142857142857142
author_584,author_26269,0.07142857142857142
author_584,author_53834,0.2
author_584,author_126013,0.5
author_584,author_126017,0.5
author_586,author_587,1.0
author_586,author_5162,0.16666666666666666
author_586,author_13792,0.16666666666666666
author_586,author_13795,0.16666666666666666
author_586,author_20563,0.16666666666666666
author_586,author_26259,0.16666666666666666
author_587,author_20563,0.07692307692307693
author_587,author_60145,0.07692307692307693
author_587,author_60147,0.07692307692307693
author_587,author_80621,0.07692307692307693
author_587,author_80627,0.07692307692307693
author_587,author_80628,0.07692307692307693
author_630,author_631,4.75
author_630,author_3287,1.8333333333333333
author_630,author_34744,0.75
author_630,author_68278,0.5833333333333333
author_630,author_68279,0.5833333333333333
author_630,author_99910,0.3333333333333333
author_630,author_119357,1.0
author_630,author_167918,2.1666666666666665
author_631,author_5383,0.3333333333333333
author_631,author_6693,2.4000000000000004
author_631,author_10935,0.25
author_631,author_10936,0.25
author_631,author_12661,0.4
author_631,author_16265,0.25
author_631,author_19106,1.75
author_631,author_22870,0.5
author_631,author_23464,1.0
author_631,author_23471,3.7499999999999996
author_631,author_23475,0.75
author_631,author_23476,0.41666666666666663
author_631,author_26812,0.25
author_631,author_28010,0.16666666666666666
author_631,author_28011,0.16666666666666666
author_631,author_28012,0.16666666666666666
author_631,author_34744,7.566666666666666
author_631,author_34747,0.4
author_631,author_34748,0.4
author_631,author_43220,1.25
author_631,author_47992,0.3333333333333333
author_631,author_53768,0.25
author_631,author_54964,1.0
author_631,author_55348,0.75
author_631,author_68278,0.25
author_631,author_68279,0.5
author_631,author_68286,0.5
author_631,author_75456,1.1666666666666665
author_631,author_75457,0.8333333333333333
author_631,author_75458,1.1666666666666665
author_631,author_85647,0.25
author_631,author_87144,0.5833333333333333
author_631,author_107994,0.5
author_631,author_112829,0.5
author_631,author_124917,0.5
author_631,author_138710,0.5
author_636,author_15831,1.0
author_636,author_17283,1.0
author_642,author_3068,1.529885800474036
author_642,author_4894,0.75
author_642,author_6909,0.25
author_642,author_11642,2.883890129478364
author_642,author_11860,1.5338578088578085
author_642,author_15462,2.887858383446618
author_642,author_18044,0.25
author_642,author_20628,1.4710622710622714
author_642,author_20629,0.125
author_642,author_22800,0.25396825396825395
author_642,author_25026,3.7545250501132847
author_642,author_33231,3.137858383446618
author_642,author_37588,0.5833333333333333
author_642,author_47927,0.6166666666666666
author_642,author_53043,3.637858383446618
author_642,author_63636,0.4916666666666667
author_642,author_67149,0.34285714285714286
author_642,author_67151,0.2
author_642,author_67152,0.2
author_642,author_76661,0.25
author_642,author_77885,0.25
author_642,author_81870,0.5
author_642,author_129236,0.4444444444444444
author_642,author_147448,0.8024475524475525
author_642,author_147453,0.7191142191142192
author_642,author_179527,0.85
author_648,author_4158,2.5
author_648,author_4160,1.5
author_654,author_656,0.8333333333333333
author_654,author_657,0.8333333333333333
author_654,author_3942,2.8666666666666667
author_654,author_3943,0.3333333333333333
author_654,author_13514,0.3333333333333333
author_654,author_13515,0.3333333333333333
author_654,author_53768,0.2
author_654,author_59144,0.2
author_654,author_178871,5.2
author_656,author_657,0.5
author_656,author_4030,0.5833333333333333
author_656,author_13514,0.3333333333333333
author_656,author_13515,0.3333333333333333
author_656,author_16857,1.0
author_656,author_46667,0.5833333333333333
author_656,author_46671,0.5833333333333333
author_657,author_3942,0.3333333333333333
author_657,author_3943,0.3333333333333333
author_658,author_918,0.3333333333333333
author_658,author_4078,0.5
author_658,author_8428,0.25
author_658,author_13558,0.5833333333333333
author_658,author_14956,2.0
author_658,author_17475,0.6666666666666666
author_658,author_27434,0.3333333333333333
author_658,author_30294,0.3333333333333333
author_658,author_30296,0.8686868686868687
author_658,author_39138,0.3333333333333333
author_658,author_41764,1.7
author_658,author_56038,0.5
author_658,author_59517,2.0
author_658,author_71436,1.0
author_658,author_75516,1.0
author_658,author_75962,0.20202020202020202
author_658,author_75963,0.20202020202020202
author_658,author_75964,0.20202020202020202
author_658,author_75965,0.20202020202020202
author_658,author_75966,0.20202020202020202
author_658,author_75967,0.7020202020202021
author_658,author_75969,0.7020202020202021
author_658,author_75970,0.20202020202020202
author_658,author_92398,1.7
author_658,author_102248,0.16666666666666666
author_658,author_126732,0.16666666666666666
author_658,author_172352,0.2
author_658,author_172356,0.2
author_659,author_660,0.5833333333333333
author_659,author_661,0.5833333333333333
author_659,author_662,3.5833333333333335
author_659,author_3965,1.8333333333333333
author_659,author_16676,0.5
author_659,author_23464,0.5833333333333333
author_659,author_49173,0.5833333333333333
author_659,author_67453,0.25
author_659,author_75456,0.3333333333333333
author_659,author_110818,0.9166666666666665
author_659,author_124141,0.5
author_660,author_661,0.5833333333333333
author_660,author_662,0.5833333333333333
author_661,author_662,0.5833333333333333
author_662,author_3965,1.8333333333333333
author_662,author_4030,0.14285714285714285
author_662,author_8095,1.0
author_662,author_8096,0.5
author_662,author_20805,0.5
author_662,author_21263,0.6428571428571428
author_662,author_22036,0.14285714285714285
author_662,author_23464,2.4166666666666665
author_662,author_35133,0.14285714285714285
author_662,author_35135,0.14285714285714285
author_662,author_35144,0.14285714285714285
author_662,author_36166,0.3333333333333333
author_662,author_49173,0.5833333333333333
author_662,author_52564,0.5
author_662,author_53172,0.5
author_662,author_53173,1.0
author_662,author_67453,0.25
author_662,author_75456,0.3333333333333333
author_662,author_85641,0.25
author_662,author_88163,0.25
author_662,author_88166,0.25
author_662,author_110818,0.9166666666666665
author_662,author_149032,1.0
author_670,author_673,0.8333333333333333
author_670,author_6632,1.5
author_670,author_15982,0.125
author_670,author_15986,0.125
author_670,author_15989,0.125
author_670,author_15990,0.125
author_670,author_36294,3.5
author_670,author_51931,2.0
author_670,author_51932,1.0
author_670,author_74958,0.3333333333333333
author_670,author_80428,0.3333333333333333
author_673,author_13196,1.5833333333333333
author_673,author_21357,0.5
author_673,author_41086,0.5833333333333333
author_673,author_53975,0.75
author_673,author_53976,0.25
author_673,author_57927,0.3333333333333333
author_673,author_59343,0.5833333333333333
author_673,author_108675,0.5
author_677,author_4714,0.5
author_677,author_6371,1.0916666666666666
author_677,author_8349,0.25
author_677,author_14847,0.25
author_677,author_15906,3.0
author_677,author_15995,1.0
author_677,author_16070,0.3333333333333333
author_677,author_18007,1.25
author_677,author_41764,1.0916666666666666
author_677,author_50246,1.0916666666666666
author_677,author_57145,1.0916666666666666
author_677,author_60575,0.5
author_809,author_3551,1.0
author_809,author_3748,0.2
author_809,author_3942,0.6666666666666666
author_809,author_4020,5.25
author_809,author_4030,0.5
author_809,author_4423,1.3333333333333333
author_809,author_4812,5.0
author_809,author_4813,8.0
author_809,author_5374,3.0
author_809,author_5691,1.0333333333333332
author_809,author_5694,1.3333333333333333
author_809,author_6371,0.5
author_809,author_6447,0.3333333333333333
author_809,author_6548,0.5
author_809,author_7058,41.0
author_809,author_7224,1.0
author_809,author_9201,4.0
author_809,author_9405,1.0
author_809,author_11810,1.8333333333333333
author_809,author_11813,0.3333333333333333
author_809,author_12450,1.0
author_809,author_13103,1.0
author_809,author_13157,0.25
author_809,author_15242,7.5
author_809,author_15585,0.5
author_809,author_15831,1.7
author_809,author_16070,0.5
author_809,author_16926,10.866666666666667
author_809,author_17341,0.5
author_809,author_18764,2.0
author_809,author_19106,0.5
author_809,author_19118,0.5
author_809,author_21282,1.0
author_809,author_22340,0.5
author_809,author_22800,1.2
author_809,author_23759,0.25
author_809,author_24682,1.5
author_809,author_25021,0.25
author_809,author_26345,1.5
author_809,author_26812,0.25
author_809,author_26818,3.7
author_809,author_27030,3.833333333333333
author_809,author_27790,0.45
author_809,author_27965,0.2
author_809,author_32140,3.75
author_809,author_32141,1.25
author_809,author_33260,2.5
author_809,author_37740,0.5833333333333333
author_809,author_37834,11.25
author_809,author_38020,0.3333333333333333
author_809,author_41100,3.5
author_809,author_43073,0.2
author_809,author_45252,0.5
author_809,author_48256,0.5
author_809,author_49395,0.2
author_809,author_53768,1.8333333333333333
author_809,author_53769,0.3333333333333333
author_809,author_55324,4.791666666666666
author_809,author_57145,1.0
author_809,author_57855,4.166666666666666
author_809,author_59144,1.0
author_809,author_63957,1.0
author_809,author_66068,1.5
author_809,author_67220,6.166666666666666
author_809,author_70473,7.0
author_809,author_73529,0.5
author_809,author_74419,0.3333333333333333
author_809,author_90336,1.125
author_809,author_90341,3.125
author_809,author_93715,0.5
author_809,author_105171,0.3333333333333333
author_809,author_106690,3.0
author_809,author_110667,0.5
author_809,author_112829,0.5
author_809,author_116054,0.9166666666666666
author_809,author_116055,1.4166666666666665
author_809,author_124696,0.25
author_809,author_125060,0.5
author_809,author_126257,0.8333333333333333
author_809,author_136606,1.0
author_809,author_147324,1.5
author_809,author_150489,0.25
author_809,author_182097,0.8333333333333333
author_809,author_195967,0.3333333333333333
author_825,author_132416,1.25
author_825,author_159238,0.5
author_843,author_6872,0.5
author_843,author_15567,0.5
author_843,author_21111,2.0
author_843,author_30454,2.0
author_851,author_7176,0.2
author_851,author_18781,0.2
author_851,author_59529,1.0
author_853,author_854,2.5
author_853,author_855,1.0
author_854,author_855,1.0
author_854,author_5921,0.5
author_855,author_11620,0.16666666666666666
author_855,author_41974,0.16666666666666666
author_855,author_70553,0.16666666666666666
author_858,author_32750,0.3333333333333333
author_858,author_49166,2.0
author_858,author_59092,0.3333333333333333
author_858,author_69434,0.5
author_892,author_1069,0.3333333333333333
author_892,author_10674,1.0
author_892,author_33205,0.3333333333333333
author_892,author_112105,0.3333333333333333
author_914,author_16070,0.5
author_914,author_16960,0.06666666666666667
author_914,author_16967,0.06666666666666667
author_914,author_16969,0.06666666666666667
author_914,author_16970,0.06666666666666667
author_914,author_24438,1.25
author_914,author_33687,1.0
author_914,author_51574,0.25
author_914,author_57404,0.14285714285714285
author_914,author_66635,0.14285714285714285
author_914,author_78613,0.14285714285714285
author_914,author_83562,0.14285714285714285
author_916,author_10625,0.2
author_918,author_920,1.0
author_918,author_4078,1.25
author_918,author_4668,0.3333333333333333
author_918,author_12145,0.3333333333333333
author_918,author_22674,2.916666666666667
author_918,author_22676,3.4166666666666665
author_918,author_29238,0.8333333333333333
author_918,author_29239,0.8333333333333333
author_918,author_31857,0.8333333333333333
author_918,author_31934,0.3333333333333333
author_918,author_34606,0.25
author_918,author_39138,0.3333333333333333
author_918,author_41356,0.6666666666666666
author_918,author_43446,1.0
author_918,author_44844,0.16666666666666666
author_918,author_49948,1.9166666666666665
author_918,author_51342,1.5
author_918,author_51343,2.1666666666666665
author_918,author_64868,0.3333333333333333
author_918,author_66332,0.3333333333333333
author_918,author_72311,1.3333333333333333
author_918,author_76530,0.25
author_918,author_77573,0.25
author_918,author_82269,0.25
author_918,author_118398,0.5
author_918,author_118400,0.5
author_918,author_194770,0.75
author_920,author_29246,0.16666666666666666
author_963,author_6804,0.5357142857142857
author_963,author_7057,0.8690476190476188
author_963,author_10647,0.30952380952380953
author_963,author_14016,0.7023809523809523
author_963,author_14020,0.5357142857142857
author_963,author_16811,0.5357142857142857
author_963,author_28165,0.14285714285714285
author_963,author_31580,0.726190476190476
author_963,author_34824,0.5357142857142857
author_963,author_44537,0.39285714285714285
author_963,author_46777,0.16666666666666666
author_963,author_54911,0.75
author_963,author_71909,0.25
author_967,author_3328,0.16666666666666666
author_967,author_3330,0.16666666666666666
author_967,author_3551,3.15
author_967,author_13069,0.75
author_967,author_14415,2.9
author_967,author_15244,1.5
author_967,author_32108,1.0
author_967,author_39852,0.16666666666666666
author_967,author_39853,0.16666666666666666
author_967,author_80169,5.4
author_967,author_80170,0.4
author_967,author_80173,0.8999999999999999
author_967,author_83751,3.333333333333333
author_967,author_92954,1.0
author_967,author_123104,1.0833333333333333
author_967,author_127574,1.0
author_967,author_132623,2.5
author_967,author_136255,1.0
author_967,author_175537,4.5
author_975,author_976,1.0
author_975,author_7551,0.5
author_975,author_29423,1.0
author_975,author_129302,1.5
author_976,author_11401,1.0
author_976,author_60849,3.0
author_976,author_92033,1.0
author_976,author_93352,1.0
author_979,author_990,1.0
author_979,author_13210,0.5
author_981,author_983,1.0
author_981,author_14018,0.5
author_981,author_23452,0.75
author_981,author_34691,1.0
author_981,author_77809,1.0
author_981,author_86394,1.0
author_981,author_93432,1.0
author_981,author_130105,0.3333333333333333
author_981,author_165360,0.5833333333333333
author_981,author_171760,0.25
author_981,author_178631,0.3333333333333333
author_983,author_8667,1.0
author_990,author_24707,1.0
author_994,author_3941,0.5
author_994,author_6565,3.5
author_994,author_12179,1.0
author_994,author_13518,1.0
author_994,author_13532,1.5
author_1011,author_11623,0.3333333333333333
author_1011,author_12480,1.5
author_1011,author_40845,0.3333333333333333
author_1039,author_1041,3.0
author_1039,author_1069,2.0
author_1039,author_5924,2.0
author_1041,author_5924,1.0
author_1047,author_1048,0.3333333333333333
author_1047,author_1050,0.3333333333333333
author_1048,author_1050,0.3333333333333333
author_1050,author_5879,1.0
author_1068,author_1069,1.5
author_1068,author_1088,1.5
author_1068,author_5924,0.3333333333333333
author_1068,author_6438,1.5
author_1068,author_8965,1.3333333333333333
