year,pipeline,cumulative_nodes,cumulative_edges,assortativity,avg_clustering,active_jaccard_nodes,active_jaccard_edges,active_overlap_nodes,active_current_nodes
2012,S5-S2,5220,9036,0.2406913056667486,0.5425606636491853,0.21490056396556842,0.10672985781990521,724,2209
2013,S5-S2,6135,11545,0.2825577078699136,0.5454499645080584,0.21069348861831658,0.09404438767363883,796,2365
2014,S5-S2,7089,14312,0.25533799392200357,0.5517547526208025,0.20423382246812605,0.08168735891647856,849,2641
2015,S5-S2,8116,17440,0.3194327717636097,0.5545625493210614,0.19785276073619631,0.09873577749683944,903,2826
2016,S5-S2,9111,20392,0.2714176001652793,0.5630943676747256,0.20530350113942408,0.08767969585362956,991,2992
2017,S5-S2,10060,23344,0.2507145278352465,0.5643856372967561,0.2095448165229597,0.08074091664687723,1045,3040
2018,S5-S2,10961,26687,0.2573869764720589,0.5659565413537945,0.20722320899940794,0.08555493586168433,1050,3077
2019,S5-S2,12032,30137,0.24711881161731702,0.5646549864625581,0.2060798209623275,0.07548743613804608,1105,3390
2020,S5-S2,13163,34154,0.2229407341980154,0.5663617145549164,0.2142489270386266,0.07967463739709918,1248,3683
2021,S5-S2,14408,41390,0.34975975400717496,0.5710655078520511,0.2232296388932312,0.07475984964499513,1428,4142
2022,S5-S2,15366,46450,0.34487088435523033,0.5752912025608378,0.23606060606060605,0.1783081344495814,1558,4016
2023,S5-S2,16254,52211,0.3914074357823533,0.5742849924649965,0.22457432121491025,0.07815136177392143,1464,3967
2024,S5-S2,16958,56506,0.3666200504869351,0.5725508044438224,0.2553523988123144,0.1024100498395576,1634,4066
2025,S5-S2,17119,58099,0.357889837681829,0.568604264702802,0.23218304576144036,0.09461568474444011,1238,2504
2006,S5-S3-S2,46,28,-0.09090909090909044,0.050724637681159424,,,0,46
2007,S5-S3-S2,82,53,-0.1347931873479317,0.0934959349593496,0.13414634146341464,0.09433962264150944,11,47
2008,S5-S3-S2,192,147,-0.16567070741562806,0.14047619047619048,0.13812154696132597,0.08759124087591241,25,159
2009,S5-S3-S2,301,254,-0.2669073809723737,0.12930707166587566,0.32857142857142857,0.21518987341772153,92,213
2010,S5-S3-S2,376,332,-0.21588978758551916,0.1335211921648092,0.2946708463949843,0.19557195571955718,94,200
2011,S5-S3-S2,489,482,-0.19801394295288582,0.19138656163196038,0.28116710875331563,0.18662952646239556,106,283
2012,S5-S3-S2,596,635,-0.13723412235945026,0.20604520680465577,0.34649122807017546,0.2452431289640592,158,331
2013,S5-S3-S2,707,780,-0.13351117399640777,0.1991494638185623,0.30988593155893535,0.21072088724584104,163,358
2014,S5-S3-S2,812,900,-0.1501216927990214,0.1924233126444728,0.32149200710479575,0.21723518850987433,181,386
2015,S5-S3-S2,887,1014,-0.11493964583385514,0.18457617687459815,0.30122591943957966,0.17264957264957265,172,357
2016,S5-S3-S2,980,1133,-0.11924970644449898,0.18682679231261387,0.31088082901554404,0.18592964824120603,180,402
2017,S5-S3-S2,1065,1248,-0.11714862372551059,0.19172077586303082,0.3089430894308943,0.19462025316455697,190,403
2018,S5-S3-S2,1165,1389,-0.11457379455404804,0.19488129494029977,0.3333333333333333,0.23851851851851852,212,445
2019,S5-S3-S2,1256,1526,-0.12399941527603446,0.19940709922574062,0.2948905109489051,0.18384401114206128,202,442
2020,S5-S3-S2,1384,1739,-0.11939215027069142,0.20665726403232698,0.3177570093457944,0.19077306733167082,238,545
2021,S5-S3-S2,1492,1946,-0.114593906743226,0.2090194402673675,0.3266509433962264,0.24301964839710444,277,580
2022,S5-S3-S2,1546,2038,-0.11616070949915343,0.21188714570587974,0.3745271122320303,0.2629262926292629,297,510
2023,S5-S3-S2,1592,2117,-0.11440455943019999,0.2103259587292874,0.3008130081300813,0.2010178117048346,222,450
2024,S5-S3-S2,1627,2170,-0.11716151146063483,0.20931069373323075,0.3090128755364807,0.19838056680161945,216,465
2025,S5-S3-S2,1631,2185,-0.11573907695974127,0.2127736064746705,0.27162629757785467,0.1762652705061082,157,270
