Year,CommunityID,Size,Avg_Degree,Avg_Weighted_Degree,Avg_Citations_Per_Paper,Total_Citations,Paper_Count
2013,20,67,10.7313,1.9541,69.1233,5046,73
2013,21,48,3.2917,1.8382,230.631,19373,84
2013,22,48,3.7917,2.5274,136.3883,14048,103
2013,23,53,3.7547,2.5503,110.7899,13184,119
2013,24,10,3.5,3.725,47.4545,1044,22
2013,25,54,4.7778,1.5805,69.1406,4425,64
2013,26,31,3.2258,2.2688,64.0345,3714,58
2013,27,27,3.0741,2.5309,40.0741,2164,54
2013,28,53,3.4151,2.4988,99.6281,12055,121
2013,29,17,8.0588,1.3598,53.75,645,12
2013,30,27,7.2593,2.0438,48.0,1536,32
2013,31,25,6.24,1.481,46.125,1107,24
2013,32,16,4.5625,2.8917,48.0,1104,23
2013,33,26,2.6538,2.2756,122.9091,6760,55
2013,34,25,3.0,1.8933,53.3208,2826,53
2013,35,13,2.8462,3.0128,82.6364,2727,33
2013,36,14,5.6429,2.872,14.7,294,20
2014,1,56,5.9821,4.6132,66.0378,12217,185
2014,2,137,8.6569,2.3932,52.1477,7770,149
2014,3,136,4.5809,3.2416,106.9652,33801,316
2014,4,85,10.6118,2.0904,69.5859,6889,99
2014,5,50,4.24,2.788,25.6077,3329,130
2014,6,129,5.2248,3.5094,107.6436,29602,275
2014,7,40,3.45,2.7146,19.1395,1646,86
2014,8,75,4.1867,2.8249,173.3457,28082,162
2014,9,40,5.6,2.6705,23.2982,1328,57
2014,10,38,3.9474,2.5145,81.7444,7357,90
2014,11,51,3.2745,2.2378,66.3362,7695,116
2014,12,173,4.3931,2.8854,70.5967,21532,305
2014,13,55,4.2727,3.1496,40.875,7194,176
2014,14,23,4.7391,2.9959,69.8636,3074,44
2014,15,88,4.2727,4.4379,47.8083,12717,266
2014,16,47,7.4255,1.9373,83.7234,3935,47
2014,17,63,3.8254,3.0026,115.2273,15210,132
2014,18,44,3.3409,3.0616,59.32,7415,125
2014,19,137,5.854,4.7871,87.2366,30969,355
2014,20,58,2.7759,2.2016,61.8417,7421,120
2014,21,32,3.2188,2.8854,17.9351,1381,77
2014,22,38,4.7105,5.0061,28.9508,3532,122
2014,23,60,6.0333,5.2715,25.9618,4076,157
2014,24,48,4.2083,3.0701,55.7234,5238,94
2014,25,35,3.4571,2.6905,86.6604,4593,53
2014,26,32,5.0312,2.5908,53.9808,2807,52
2014,27,69,6.7826,2.0255,49.2449,4826,98
2014,28,15,2.6,1.7,94.0435,2163,23
2014,29,9,2.5556,2.5926,131.7857,1845,14
2014,30,65,3.6462,2.0882,64.6344,6011,93
2014,31,108,8.3889,2.2884,63.0074,8506,135
2014,32,40,5.05,2.7596,171.9302,14786,86
2014,33,10,4.5,4.9833,40.9545,901,22
2014,34,140,4.7571,4.1269,59.5823,24250,407
2014,35,60,3.3333,2.7004,61.5074,8365,136
2014,36,79,3.4557,2.0171,161.6786,22635,140
2014,37,83,3.8916,2.8884,129.6034,23199,179
2014,38,98,5.0714,5.032,35.2413,13145,373
2014,39,32,2.75,2.5226,38.4348,2652,69
2014,40,43,3.2558,2.0504,48.8478,4494,92
2014,41,69,4.7246,1.5143,61.1786,5139,84
2014,42,50,4.32,4.52,39.4046,5162,131
2014,43,29,3.2069,2.4943,40.2373,2374,59
2014,44,20,2.85,2.07,21.6481,1169,54
2014,45,19,2.6842,2.4579,52.0,2496,48
2014,46,56,3.9107,2.795,98.6953,12633,128
2014,47,16,4.0625,1.6146,74.0233,3183,43
2014,48,57,4.4035,2.6103,25.3817,3325,131
