Year,Size
2022,71
2022,38
2022,102
2022,84
2022,20
2022,71
2022,18
2022,32
2022,82
2022,29
2022,31
2022,54
2022,101
2022,28
2022,71
2022,54
2022,37
2022,16
2022,16
2022,68
2022,22
2022,69
2022,35
2022,32
2022,35
2022,28
2022,20
2022,56
2022,20
2022,55
2022,23
2022,31
2022,47
2022,28
2022,31
2022,53
2022,36
2022,72
2022,20
2022,41
2022,31
2022,47
2022,9
2022,7
2023,62
2023,291
2023,209
2023,427
2023,180
2023,54
2023,100
2023,75
2023,308
2023,151
2023,276
2023,57
2023,31
2023,154
2023,82
2023,101
2023,243
2023,311
2023,2262
2023,745
2023,289
2023,65
2023,54
2023,179
2023,71
2023,246
2023,147
2023,548
2023,766
2023,80
2023,40
2023,65
2023,100
2023,90
2023,301
2023,99
2023,165
2023,182
2023,239
2023,66
2023,159
2023,135
2023,516
2023,68
2023,145
2023,535
2023,120
2023,23
2023,69
2023,66
2023,112
2023,28
2023,58
2023,69
2023,36
2023,139
2023,20
2023,94
2023,84
2023,102
2023,76
2023,112
2023,105
2023,63
2023,124
2023,18
2023,34
2023,110
2023,29
2023,49
2023,41
2023,86
2023,93
2023,46
2023,37
2023,32
2023,83
2023,27
2023,103
2023,23
2023,113
2023,37
2023,95
2023,55
2023,28
2023,10
2023,33
2023,26
2024,56
2024,69
2024,499
2024,92
2024,181
2024,149
2024,139
2024,120
2024,83
2024,251
2024,161
2024,230
2024,142
2024,76
2024,605
2024,149
2024,142
2024,172
2024,310
2024,155
2024,70
2024,72
2024,17
2024,124
2024,57
2024,290
2024,147
2024,698
2024,51
2024,876
2024,2043
2024,17
2024,138
2024,202
2024,124
2024,98
2024,365
2024,34
2024,369
2024,284
2024,277
2024,49
2024,235
2024,35
2024,70
2024,217
2024,205
2024,78
2024,584
2024,87
2024,23
2024,70
2024,42
2024,114
2024,48
2024,168
2024,36
2024,229
2024,104
2024,160
2024,91
2024,116
2024,39
2024,50
2024,39
2024,46
2024,56
2024,20
2024,58
2024,76
2024,238
2024,110
2024,44
2024,95
2024,127
2024,113
2024,56
2024,47
2024,57
2024,128
2024,68
2024,143
2024,59
2024,20
2024,34
2024,29
2024,25
2024,57
2024,16
2024,64
2024,98
2024,26
2024,47
2024,44
2024,98
2024,40
2024,35
2024,79
2024,15
2024,28
2024,64
2024,17
2024,23
2024,99
2024,53
2024,62
2024,32
2024,79
2024,39
2024,59
2024,10
2024,17
2024,20
2024,26
2024,19
2024,34
2024,13
2024,8
2024,14
2025,82
2025,56
2025,79
2025,283
2025,316
2025,77
2025,159
2025,120
2025,149
2025,158
2025,134
2025,464
2025,162
2025,400
2025,78
2025,145
2025,116
2025,267
2025,154
2025,91
2025,1005
2025,24
2025,62
2025,382
2025,70
2025,86
2025,65
2025,336
2025,184
2025,89
2025,51
2025,91
2025,72
2025,39
2025,83
2025,66
2025,135
2025,104
2025,906
2025,579
2025,37
2025,33
2025,261
2025,23
2025,22
2025,220
2025,60
2025,202
2025,161
2025,117
2025,77
2025,667
2025,442
2025,969
2025,161
2025,23
2025,73
2025,146
2025,92
2025,64
2025,131
2025,178
2025,44
2025,217
2025,154
2025,160
2025,77
2025,32
2025,52
2025,475
2025,128
2025,41
2025,39
2025,41
2025,20
2025,89
2025,124
2025,80
2025,51
2025,127
2025,147
2025,70
2025,60
2025,23
2025,359
2025,143
2025,104
2025,28
2025,20
2025,29
2025,49
2025,94
2025,121
2025,32
2025,93
2025,79
2025,22
2025,23
2025,186
2025,26
2025,13
2025,26
2025,48
2025,44
2025,111
2025,34
2025,57
2025,157
2025,33
2025,51
2025,28
2025,61
2025,56
2025,15
2025,12
2025,23
2025,51
2025,67
2025,32
2025,101
2025,21
2025,48
2025,20
2025,42
2025,59
2025,17
2025,10
2025,15
2025,20
2025,13
2025,25
2025,8
2025,22
2025,14
2025,28
